1	0	0
1	1	1
1	2	2
1	3	3
1	4	4
1	5	5
1	6	6
1	7	8
1	7	9
1	7	10
1	7	7
2	0	11
2	1	12
2	2	13
2	3	14
2	4	15
2	5	16
2	6	6
2	7	8
2	7	9
2	7	17
2	7	18
2	7	19
2	7	20
2	7	21
2	7	22
2	7	23
2	7	24
2	7	25
2	7	26
2	7	27
2	7	28
2	7	29
2	7	30
2	7	31
2	7	32
2	7	33
2	7	34
2	7	35
2	7	36
2	7	37
2	7	38
2	7	39
2	7	40
2	7	41
2	7	42
2	7	43
2	7	44
2	7	45
2	7	46
2	7	47
2	7	48
2	7	49
2	7	50
3	0	51
3	1	52
3	2	2
3	3	3
3	4	15
3	5	53
3	6	6
3	7	9
3	7	10
3	7	54
3	7	55
3	7	56
3	7	57
3	7	58
3	7	59
3	7	60
4	0	61
4	1	62
4	2	2
4	3	3
4	4	4
4	5	63
4	6	6
4	7	8
4	7	9
4	7	10
5	0	64
5	1	65
5	2	2
5	3	3
5	4	66
5	5	67
5	6	6
5	7	68
5	7	69
5	7	70
5	7	39
5	7	38
5	7	9
5	7	10
5	7	71
5	7	72
5	7	25
5	7	58
5	7	57
6	0	73
6	1	74
6	2	75
6	3	76
6	4	15
6	5	77
6	6	6
6	7	69
6	7	70
6	7	9
6	7	78
6	7	79
6	7	57
6	7	59
7	0	80
7	1	81
7	2	2
7	3	3
7	4	4
7	5	82
7	6	6
7	7	8
7	7	9
7	7	10
7	7	83
7	7	84
7	7	54
7	7	55
7	7	56
7	7	57
7	7	58
7	7	60
8	0	85
8	1	62
8	2	2
8	3	3
8	4	15
8	5	86
8	6	6
8	7	33
8	7	39
8	7	72
8	7	9
8	7	18
8	7	87
8	7	25
9	0	88
9	1	89
9	2	2
9	3	3
9	4	15
9	5	90
9	6	6
9	7	9
9	7	59
9	7	57
9	7	58
9	7	91
10	0	92
10	1	93
10	2	2
10	3	94
10	4	4
10	5	95
10	6	6
10	7	96
10	7	97
10	7	40
10	7	9
10	7	21
10	7	22
10	7	55
10	7	56
10	7	25
10	7	59
10	7	60
11	0	98
11	1	99
11	2	75
11	3	76
11	4	4
11	5	100
11	6	6
11	7	69
11	7	101
11	7	9
11	7	58
11	7	59
12	0	102
12	1	103
12	2	2
12	3	3
12	4	4
12	5	104
12	6	6
12	7	72
12	7	9
12	7	10
12	7	8
13	0	105
13	1	106
13	2	2
13	3	94
13	4	4
13	5	107
13	6	6
13	7	56
13	7	108
13	7	37
13	7	60
14	0	109
14	1	110
14	2	2
14	3	94
14	4	4
14	5	111
14	6	6
14	7	8
14	7	9
14	7	10
15	0	112
15	1	113
15	2	2
15	3	3
15	4	4
15	5	114
15	6	6
15	7	37
15	7	72
15	7	9
15	7	44
15	7	115
15	7	25
15	7	58
15	7	91
16	0	116
16	1	117
16	2	2
16	3	3
16	4	4
16	5	118
16	6	6
16	7	8
16	7	9
16	7	10
16	7	58
17	0	119
17	1	120
17	2	13
17	3	121
17	4	122
17	5	123
17	6	6
17	7	37
17	7	72
17	7	9
17	7	20
17	7	59
17	7	124
17	7	125
18	0	126
18	1	127
18	2	2
18	3	94
18	4	15
18	5	128
18	6	129
18	7	130
18	7	72
18	7	9
18	7	49
18	7	25
19	0	131
19	1	132
19	2	2
19	3	3
19	4	4
19	5	133
19	6	6
19	7	56
19	7	60
19	7	134
20	0	135
20	1	136
20	2	2
20	3	137
20	4	66
20	5	138
20	6	6
20	7	8
20	7	9
21	0	139
21	1	140
21	2	2
21	3	141
21	4	15
21	5	142
21	6	6
21	7	9
21	7	69
21	7	143
22	0	144
22	1	145
22	2	2
22	3	3
22	4	4
22	5	146
22	6	6
22	7	72
22	7	9
22	7	10
22	7	8
22	7	57
23	0	147
